,STAR,Kate Brown,106No,105No,Auer,Chen,Henry,103No,Defazio
STAR,1.0,0.946428483208,0.920981565437,0.920243089312,-0.539495920426,-0.148565163952,0.2169651159,0.906362096155,0.907925426459
Kate Brown,0.946428483208,1.0,0.987549897034,0.985013365645,-0.606890022635,-0.0677627877315,0.222100070836,0.951359322499,0.987498009138
106No,0.920981565437,0.987549897034,1.0,0.987573147376,-0.569012720264,-0.0304141241568,0.268481081347,0.942200624097,0.986290814784
105No,0.920243089312,0.985013365645,0.987573147376,1.0,-0.582730257293,-0.0168832028089,0.230471125162,0.94954150083,0.991505444172
Auer,-0.539495920426,-0.606890022635,-0.569012720264,-0.582730257293,1.0,0.226255963513,0.177757444257,-0.601225371544,-0.593610605462
Chen,-0.148565163952,-0.0677627877315,-0.0304141241568,-0.0168832028089,0.226255963513,1.0,0.34610989058,-0.241191557062,0.000920164005617
Henry,0.2169651159,0.222100070836,0.268481081347,0.230471125162,0.177757444257,0.34610989058,1.0,0.120132026635,0.234196558936
103No,0.906362096155,0.951359322499,0.942200624097,0.94954150083,-0.601225371544,-0.241191557062,0.120132026635,1.0,0.944058689968
Defazio,0.907925426459,0.987498009138,0.986290814784,0.991505444172,-0.593610605462,0.000920164005617,0.234196558936,0.944058689968,1.0
